gene,transcript,protein
FBgn0039623.1,FBtr0085342.1,FBpp0084711.1
FBgn0041780.1,FBtr0345060.1,FBpp0311293.1
FBgn0266404.1,FBtr0344346.1,
FBgn0039625.1,FBtr0085419.1,FBpp0084788.1
FBgn0027873.1,FBtr0085357.1,FBpp0084726.1
FBgn0039626.1,FBtr0085418.1,FBpp0084787.1
FBgn0003093.1,FBtr0085359.1,FBpp0084728.1
FBgn0003093.1,FBtr0339149.1,FBpp0308294.1
FBgn0003093.1,FBtr0301516.1,FBpp0290731.1
FBgn0003093.1,FBtr0339150.1,FBpp0308295.1
FBgn0039627.1,FBtr0085360.1,FBpp0084729.1
FBgn0039628.1,FBtr0085361.1,FBpp0084730.1
FBgn0039629.1,FBtr0085362.1,FBpp0084731.1
FBgn0267776.1,FBtr0347340.1,
FBgn0039630.1,FBtr0346138.1,FBpp0311966.1
FBgn0039630.1,FBtr0085363.1,FBpp0084732.1
FBgn0039631.1,FBtr0085364.1,FBpp0084733.1
FBgn0039632.1,FBtr0085417.1,FBpp0084786.1
FBgn0039633.1,FBtr0330299.1,FBpp0303331.1
FBgn0039633.1,FBtr0085365.1,FBpp0084734.1
FBgn0039633.1,FBtr0330301.1,FBpp0303333.1
FBgn0039633.1,FBtr0330300.1,FBpp0303332.1
FBgn0266390.1,FBtr0344329.1,
FBgn0039634.1,FBtr0085416.1,FBpp0084785.1
FBgn0039635.1,FBtr0085366.1,FBpp0084735.1
FBgn0039635.1,FBtr0085367.1,FBpp0084736.1
FBgn0039635.1,FBtr0085368.1,FBpp0084737.1
FBgn0039635.1,FBtr0085369.1,FBpp0084738.1
FBgn0039636.1,FBtr0085370.1,FBpp0084739.1
FBgn0005596.1,FBtr0330292.1,FBpp0303324.1
FBgn0005596.1,FBtr0085415.1,FBpp0084784.1
FBgn0039637.1,FBtr0085371.1,FBpp0084740.1
FBgn0039637.1,FBtr0085372.1,FBpp0084741.1
FBgn0039637.1,FBtr0085373.1,FBpp0084742.1
FBgn0039638.1,FBtr0085414.1,FBpp0084783.1
FBgn0028671.1,FBtr0301651.1,FBpp0290865.1
FBgn0028671.1,FBtr0085376.1,FBpp0084745.1
FBgn0028671.1,FBtr0085374.1,FBpp0084743.1
FBgn0028671.1,FBtr0085377.1,FBpp0084746.1
FBgn0028671.1,FBtr0335405.1,FBpp0307388.1
FBgn0028671.1,FBtr0085375.1,FBpp0084744.1
FBgn0028671.1,FBtr0085379.1,FBpp0084748.1
FBgn0028671.1,FBtr0085380.1,FBpp0084749.1
FBgn0028671.1,FBtr0301650.1,FBpp0290864.1
FBgn0028671.1,FBtr0085381.1,FBpp0084750.1
FBgn0039639.1,FBtr0085413.1,FBpp0084782.1
FBgn0039640.1,FBtr0085382.1,FBpp0084751.1
FBgn0039640.1,FBtr0085383.1,FBpp0084752.1
FBgn0039640.1,FBtr0335406.1,FBpp0307389.1
FBgn0039641.1,FBtr0085412.1,FBpp0084781.1
FBgn0039642.1,FBtr0085411.1,FBpp0084780.1
FBgn0039642.1,FBtr0335407.1,FBpp0307390.1
FBgn0014869.1,FBtr0085384.1,FBpp0084753.1
FBgn0014869.1,FBtr0100483.1,FBpp0099920.1
FBgn0014869.1,FBtr0100482.1,FBpp0099919.1
FBgn0041588.1,FBtr0085410.1,FBpp0084779.1
FBgn0041186.1,FBtr0085409.1,FBpp0084778.1
FBgn0028692.1,FBtr0334532.1,FBpp0306599.1
FBgn0028692.1,FBtr0330379.1,FBpp0303405.1
FBgn0028692.1,FBtr0085385.1,FBpp0084754.1
FBgn0039644.1,FBtr0085387.1,FBpp0084756.1
FBgn0039644.1,FBtr0085386.1,FBpp0084755.1
FBgn0039645.1,FBtr0273260.1,FBpp0271768.1
FBgn0039647.1,FBtr0334534.1,FBpp0306601.1
FBgn0039647.1,FBtr0334533.1,FBpp0306600.1
FBgn0039647.1,FBtr0113303.1,FBpp0112215.1
FBgn0039647.1,FBtr0113304.1,FBpp0112216.1
FBgn0039648.1,FBtr0085389.1,FBpp0084758.1
FBgn0014427.1,FBtr0085390.1,FBpp0084759.1
FBgn0039650.1,FBtr0085407.1,FBpp0084776.1
FBgn0039651.1,FBtr0085406.1,FBpp0084775.1
FBgn0051044.1,FBtr0085391.1,
FBgn0051044.1,FBtr0303427.1,
FBgn0051044.1,FBtr0303426.1,
FBgn0262448.1,FBtr0304462.1,
FBgn0262448.1,FBtr0304463.1,
FBgn0262404.1,FBtr0304319.1,
FBgn0262404.1,FBtr0304320.1,
FBgn0029176.1,FBtr0085392.1,FBpp0084761.1
FBgn0029176.1,FBtr0302442.1,FBpp0291632.1
FBgn0029176.1,FBtr0085393.1,FBpp0084762.1
FBgn0062442.1,FBtr0085405.1,FBpp0084774.1
FBgn0039654.1,FBtr0085394.1,FBpp0084763.1
FBgn0039655.1,FBtr0113305.1,FBpp0112217.1
FBgn0028476.1,FBtr0300833.1,FBpp0290057.1
FBgn0028476.1,FBtr0333818.1,FBpp0305952.1
FBgn0028476.1,FBtr0300832.1,FBpp0290056.1
FBgn0039656.1,FBtr0306020.1,FBpp0297162.1
FBgn0039656.1,FBtr0085403.1,FBpp0084772.1
FBgn0051427.1,FBtr0332433.1,FBpp0304706.1
FBgn0051427.1,FBtr0332432.1,FBpp0304705.1
FBgn0051427.1,FBtr0113407.1,FBpp0112319.1
FBgn0051427.1,FBtr0304107.1,FBpp0293052.1
FBgn0051445.1,FBtr0085401.1,FBpp0084770.1
FBgn0051445.1,FBtr0332431.1,FBpp0304704.1
FBgn0263236.1,FBtr0334868.1,FBpp0306891.1
FBgn0263236.1,FBtr0085398.1,FBpp0084767.1
FBgn0263236.1,FBtr0345203.1,FBpp0311398.1
FBgn0263236.1,FBtr0085399.1,FBpp0084768.1
FBgn0263236.1,FBtr0085400.1,FBpp0084769.1
FBgn0003525.1,FBtr0085397.1,FBpp0084766.1
FBgn0003525.1,FBtr0334867.1,FBpp0306890.1
FBgn0267104.1,FBtr0346197.1,FBpp0312014.1
FBgn0267104.1,FBtr0346198.1,FBpp0312015.1
FBgn0267128.1,FBtr0346224.1,
FBgn0039659.1,FBtr0334874.1,FBpp0306897.1
FBgn0039659.1,FBtr0334875.1,FBpp0306898.1
FBgn0015622.1,FBtr0334873.1,FBpp0306896.1
FBgn0015622.1,FBtr0085437.1,FBpp0084803.1
FBgn0015622.1,FBtr0085438.1,FBpp0084804.1
FBgn0015622.1,FBtr0110909.1,FBpp0110209.1
FBgn0267107.1,FBtr0346201.1,
FBgn0267106.1,FBtr0346200.1,FBpp0312017.1
FBgn0004369.1,FBtr0303148.1,FBpp0292247.1
FBgn0004369.1,FBtr0085422.1,FBpp0084791.1
FBgn0004369.1,FBtr0085424.1,FBpp0089274.1
FBgn0004369.1,FBtr0085423.1,FBpp0084792.1
FBgn0004369.1,FBtr0303454.1,FBpp0292507.1
FBgn0264792.1,FBtr0334340.1,
FBgn0039663.1,FBtr0334339.1,FBpp0306446.1
FBgn0039663.1,FBtr0085436.1,FBpp0084802.1
FBgn0039664.1,FBtr0085425.1,FBpp0084793.1
FBgn0039664.1,FBtr0303455.1,FBpp0292508.1
FBgn0040623.1,FBtr0085435.1,FBpp0084801.1
FBgn0039665.1,FBtr0085434.1,FBpp0084800.1
FBgn0039665.1,FBtr0085433.1,FBpp0084799.1
FBgn0039666.1,FBtr0085426.1,FBpp0084794.1
FBgn0039667.1,FBtr0085427.1,FBpp0084795.1
FBgn0039667.1,FBtr0333187.1,FBpp0305389.1
FBgn0039667.1,FBtr0085428.1,FBpp0084796.1
FBgn0039668.1,FBtr0085430.1,FBpp0084798.1
FBgn0039668.1,FBtr0333188.1,FBpp0305390.1
FBgn0039668.1,FBtr0085432.1,FBpp0089379.1
FBgn0039668.1,FBtr0085429.1,FBpp0084797.1
FBgn0039669.1,FBtr0339902.1,FBpp0308934.1
FBgn0039669.1,FBtr0085440.1,FBpp0084806.1
FBgn0263588.1,FBtr0309824.1,
FBgn0000492.1,FBtr0085441.1,FBpp0084807.1
FBgn0039670.1,FBtr0085472.1,FBpp0084838.1
FBgn0039671.1,FBtr0339895.1,FBpp0308927.1
FBgn0039671.1,FBtr0085471.1,FBpp0084837.1
FBgn0051041.1,FBtr0085470.1,FBpp0084836.1
FBgn0086361.1,FBtr0309241.1,FBpp0301180.1
FBgn0086361.1,FBtr0085444.1,FBpp0084810.1
FBgn0086361.1,FBtr0085443.1,FBpp0084809.1
FBgn0086361.1,FBtr0085442.1,FBpp0084808.1
FBgn0086361.1,FBtr0085445.1,FBpp0084811.1
FBgn0086361.1,FBtr0085446.1,FBpp0084812.1
FBgn0039673.1,FBtr0330295.1,FBpp0303327.1
FBgn0039673.1,FBtr0330294.1,FBpp0303326.1
FBgn0262873.1,FBtr0306279.1,FBpp0297389.1
FBgn0039674.1,FBtr0085447.1,FBpp0084813.1
FBgn0266137.1,FBtr0330293.1,FBpp0303325.1
FBgn0266137.1,FBtr0085468.1,FBpp0084834.1
FBgn0266137.1,FBtr0085467.1,FBpp0084833.1
FBgn0039675.1,FBtr0085448.1,FBpp0084814.1
FBgn0039675.1,FBtr0332440.1,FBpp0304713.1
FBgn0039676.1,FBtr0332442.1,FBpp0304715.1
FBgn0039676.1,FBtr0332443.1,FBpp0304716.1
FBgn0039676.1,FBtr0085466.1,FBpp0084832.1
FBgn0039677.1,FBtr0085449.1,FBpp0084815.1
FBgn0039677.1,FBtr0332441.1,FBpp0304714.1
FBgn0039678.1,FBtr0339147.1,FBpp0308292.1
FBgn0039678.1,FBtr0085450.1,FBpp0084816.1
FBgn0039679.1,FBtr0085451.1,FBpp0084817.1
FBgn0025457.1,FBtr0339148.1,FBpp0308293.1
FBgn0025457.1,FBtr0085465.1,FBpp0084831.1
FBgn0039680.1,FBtr0085452.1,FBpp0084818.1
FBgn0039681.1,FBtr0308238.1,FBpp0300558.1
FBgn0039681.1,FBtr0085464.1,FBpp0084830.1
FBgn0013972.1,FBtr0085453.1,FBpp0084819.1
FBgn0039682.1,FBtr0333199.1,FBpp0305401.1
FBgn0039682.1,FBtr0085463.1,FBpp0084829.1
FBgn0039683.1,FBtr0085454.1,FBpp0084820.1
FBgn0267129.1,FBtr0346225.1,
FBgn0039684.1,FBtr0085455.1,FBpp0084821.1
FBgn0250832.1,FBtr0305053.1,FBpp0293590.1
FBgn0250832.1,FBtr0089608.1,FBpp0088975.1
FBgn0039685.1,FBtr0333198.1,FBpp0305400.1
FBgn0039685.1,FBtr0085462.1,FBpp0084828.1
FBgn0039686.1,FBtr0085456.1,FBpp0084822.1
FBgn0267777.1,FBtr0347341.1,
FBgn0085325.1,FBtr0112492.1,FBpp0111405.1
FBgn0024841.1,FBtr0085458.1,FBpp0084824.1
FBgn0039687.1,FBtr0085461.1,FBpp0084827.1
FBgn0042213.1,FBtr0339716.1,FBpp0308773.1
FBgn0042213.1,FBtr0085459.1,FBpp0084825.1
FBgn0039688.1,FBtr0085460.1,FBpp0084826.1
FBgn0039688.1,FBtr0339718.1,FBpp0308775.1
FBgn0039688.1,FBtr0339717.1,FBpp0308774.1
FBgn0027583.1,FBtr0085544.1,FBpp0084910.1
FBgn0039689.1,FBtr0085473.1,FBpp0084839.1
FBgn0039690.1,FBtr0333820.1,FBpp0305954.1
FBgn0039690.1,FBtr0330296.1,FBpp0303328.1
FBgn0039690.1,FBtr0310267.1,FBpp0301950.1
FBgn0039690.1,FBtr0085474.1,FBpp0084840.1
FBgn0039690.1,FBtr0085475.1,FBpp0084841.1
FBgn0039690.1,FBtr0333821.1,FBpp0305955.1
FBgn0039690.1,FBtr0306104.1,FBpp0297241.1
FBgn0027518.1,FBtr0330297.1,FBpp0303329.1
FBgn0027518.1,FBtr0085543.1,FBpp0084909.1
FBgn0267778.1,FBtr0347343.1,
FBgn0039691.1,FBtr0085476.1,FBpp0084842.1
FBgn0020235.1,FBtr0085541.1,FBpp0084907.1
FBgn0020235.1,FBtr0085540.1,FBpp0084906.1
FBgn0020235.1,FBtr0085539.1,FBpp0084905.1
FBgn0260990.1,FBtr0333822.1,FBpp0305956.1
FBgn0260990.1,FBtr0085477.1,FBpp0084843.1
FBgn0266258.1,FBtr0343925.1,
FBgn0001297.1,FBtr0099988.1,FBpp0099941.1
FBgn0001297.1,FBtr0099989.1,FBpp0084844.1
FBgn0001297.1,FBtr0339165.1,FBpp0308309.1
FBgn0001297.1,FBtr0099990.1,FBpp0084846.1
FBgn0001297.1,FBtr0290076.1,FBpp0288515.1
FBgn0267779.1,FBtr0347344.1,
FBgn0039694.1,FBtr0085538.1,FBpp0084904.1
FBgn0262112.1,FBtr0085481.1,FBpp0084847.1
FBgn0039696.1,FBtr0085537.1,FBpp0084903.1
FBgn0019972.1,FBtr0085482.1,FBpp0084848.1
FBgn0039697.1,FBtr0085536.1,FBpp0084902.1
FBgn0039697.1,FBtr0085535.1,FBpp0084901.1
FBgn0039698.1,FBtr0085483.1,FBpp0084849.1
FBgn0002924.1,FBtr0085534.1,FBpp0084900.1
FBgn0002924.1,FBtr0344976.1,FBpp0311231.1
FBgn0000247.1,FBtr0085484.1,FBpp0084850.1
FBgn0000247.1,FBtr0346613.1,FBpp0312193.1
FBgn0039702.1,FBtr0085533.1,FBpp0084899.1
FBgn0039703.1,FBtr0085531.1,FBpp0084897.1
FBgn0039704.1,FBtr0085486.1,FBpp0084852.1
FBgn0039704.1,FBtr0085485.1,FBpp0084851.1
FBgn0039705.1,FBtr0085529.1,FBpp0084895.1
FBgn0039705.1,FBtr0339144.1,FBpp0308289.1
FBgn0039705.1,FBtr0085530.1,FBpp0084896.1
FBgn0039705.1,FBtr0085528.1,FBpp0084894.1
FBgn0260969.1,FBtr0301747.1,FBpp0290961.1
FBgn0039707.1,FBtr0301745.1,FBpp0290959.1
FBgn0039707.1,FBtr0301746.1,FBpp0290960.1
FBgn0039707.1,FBtr0339143.1,FBpp0308288.1
FBgn0039709.1,FBtr0085488.1,FBpp0084854.1
FBgn0039709.1,FBtr0303095.1,FBpp0292214.1
FBgn0039710.1,FBtr0085527.1,FBpp0084893.1
FBgn0039710.1,FBtr0339942.1,FBpp0308967.1
FBgn0039710.1,FBtr0335006.1,FBpp0307014.1
FBgn0039711.1,FBtr0303035.1,FBpp0292154.1
FBgn0039711.1,FBtr0089927.1,FBpp0088866.1
FBgn0051032.1,FBtr0085524.1,
FBgn0039712.1,FBtr0335005.1,FBpp0307013.1
FBgn0039712.1,FBtr0085523.1,FBpp0084889.1
FBgn0039713.1,FBtr0346159.1,FBpp0311987.1
FBgn0039713.1,FBtr0310274.1,FBpp0301957.1
FBgn0039713.1,FBtr0085489.1,FBpp0099686.1
FBgn0039713.1,FBtr0346158.1,FBpp0311986.1
FBgn0086061.1,FBtr0114337.1,
FBgn0065066.1,FBtr0091779.1,
FBgn0039714.1,FBtr0089922.1,FBpp0088861.1
FBgn0039714.1,FBtr0089923.1,FBpp0088862.1
FBgn0039714.1,FBtr0303032.1,FBpp0292151.1
FBgn0039714.1,FBtr0089925.1,FBpp0088864.1
FBgn0039714.1,FBtr0303034.1,FBpp0292153.1
FBgn0039714.1,FBtr0089921.1,FBpp0088860.1
FBgn0039714.1,FBtr0089920.1,FBpp0088859.1
FBgn0039714.1,FBtr0303033.1,FBpp0292152.1
FBgn0039714.1,FBtr0089924.1,FBpp0088863.1
FBgn0083969.1,FBtr0335004.1,FBpp0307012.1
FBgn0083969.1,FBtr0301073.1,FBpp0290295.1
FBgn0083969.1,FBtr0110888.1,FBpp0110188.1
FBgn0051038.1,FBtr0085496.1,FBpp0084862.1
FBgn0051038.1,FBtr0085494.1,FBpp0084860.1
FBgn0051038.1,FBtr0085498.1,FBpp0084864.1
FBgn0051038.1,FBtr0085495.1,FBpp0084861.1
FBgn0051038.1,FBtr0333274.1,FBpp0305472.1
FBgn0051038.1,FBtr0085497.1,FBpp0084863.1
FBgn0051038.1,FBtr0333275.1,FBpp0305473.1
FBgn0039718.1,FBtr0085515.1,FBpp0084881.1
FBgn0039719.1,FBtr0332429.1,FBpp0304702.1
FBgn0051036.1,FBtr0085501.1,FBpp0084867.1
FBgn0051036.1,FBtr0345059.1,FBpp0311292.1
FBgn0039722.1,FBtr0085514.1,FBpp0084880.1
FBgn0003861.1,FBtr0331356.1,FBpp0303774.1
FBgn0003861.1,FBtr0085513.1,FBpp0084879.1
FBgn0003357.1,FBtr0085502.1,FBpp0084868.1
FBgn0003357.1,FBtr0346340.1,FBpp0312057.1
FBgn0003356.1,FBtr0085512.1,FBpp0084878.1
FBgn0003358.1,FBtr0085511.1,FBpp0084877.1
FBgn0039723.1,FBtr0331355.1,FBpp0303773.1
FBgn0039723.1,FBtr0085503.1,FBpp0084869.1
FBgn0051202.1,FBtr0085510.1,FBpp0084876.1
FBgn0051040.1,FBtr0085509.1,FBpp0084875.1
FBgn0260759.1,FBtr0301256.1,FBpp0290471.1
FBgn0260760.1,FBtr0301257.1,FBpp0290472.1
FBgn0039726.1,FBtr0085508.1,FBpp0084874.1
FBgn0039727.1,FBtr0300825.1,FBpp0290049.1
FBgn0039727.1,FBtr0085505.1,FBpp0084871.1
FBgn0004622.1,FBtr0301656.1,FBpp0290870.1
FBgn0004622.1,FBtr0330298.1,FBpp0303330.1
FBgn0004622.1,FBtr0085507.1,FBpp0084873.1
FBgn0039728.1,FBtr0085545.1,FBpp0084911.1
FBgn0000032.1,FBtr0085609.1,FBpp0084974.1
FBgn0000032.1,FBtr0085610.1,FBpp0084975.1
FBgn0039730.1,FBtr0085608.1,FBpp0084973.1
FBgn0039730.1,FBtr0334707.1,FBpp0306761.1
FBgn0039731.1,FBtr0085546.1,FBpp0084912.1
FBgn0039732.1,FBtr0085607.1,FBpp0084929.1
FBgn0039733.1,FBtr0085548.1,FBpp0084914.1
FBgn0039733.1,FBtr0085547.1,FBpp0084913.1
FBgn0039733.1,FBtr0085549.1,FBpp0084915.1
FBgn0085327.1,FBtr0112494.1,FBpp0111407.1
FBgn0039734.1,FBtr0085551.1,FBpp0084917.1
FBgn0039734.1,FBtr0085550.1,FBpp0084916.1
FBgn0039735.1,FBtr0085606.1,FBpp0084971.1
FBgn0039735.1,FBtr0113308.1,FBpp0112220.1
FBgn0016685.1,FBtr0085552.1,FBpp0084918.1
FBgn0016685.1,FBtr0334701.1,FBpp0306756.1
FBgn0039736.1,FBtr0085605.1,FBpp0084970.1
FBgn0039737.1,FBtr0334706.1,FBpp0306760.1
FBgn0039737.1,FBtr0085603.1,FBpp0084968.1
FBgn0039738.1,FBtr0100418.1,FBpp0099836.1
FBgn0039738.1,FBtr0334705.1,FBpp0306759.1
FBgn0039738.1,FBtr0085602.1,FBpp0084967.1
FBgn0039739.1,FBtr0085601.1,FBpp0084966.1
FBgn0026597.1,FBtr0085554.1,FBpp0084920.1
FBgn0026597.1,FBtr0085553.1,FBpp0084919.1
FBgn0026597.1,FBtr0290030.1,FBpp0288469.1
FBgn0026597.1,FBtr0334702.1,FBpp0306757.1
FBgn0026597.1,FBtr0300600.1,FBpp0289827.1
FBgn0026597.1,FBtr0334703.1,FBpp0306758.1
FBgn0026597.1,FBtr0085555.1,FBpp0084921.1
FBgn0267780.1,FBtr0347345.1,
FBgn0264837.1,FBtr0334704.1,
FBgn0039740.1,FBtr0085600.1,FBpp0084965.1
FBgn0041102.1,FBtr0085599.1,FBpp0084964.1
FBgn0001281.1,FBtr0085598.1,FBpp0084963.1
FBgn0001280.1,FBtr0085595.1,FBpp0084961.1
FBgn0001280.1,FBtr0085597.1,FBpp0089165.1
FBgn0001280.1,FBtr0085596.1,FBpp0084962.1
FBgn0003510.1,FBtr0346862.1,FBpp0312402.1
FBgn0003510.1,FBtr0085557.1,FBpp0084923.1
FBgn0003511.1,FBtr0085556.1,FBpp0084922.1
FBgn0003511.1,FBtr0346861.1,FBpp0312401.1
FBgn0003512.1,FBtr0085558.1,FBpp0084924.1
FBgn0002626.1,FBtr0085592.1,FBpp0084958.1
FBgn0002626.1,FBtr0085594.1,FBpp0084960.1
FBgn0002626.1,FBtr0085593.1,FBpp0084959.1
FBgn0002626.1,FBtr0114555.1,FBpp0113047.1
FBgn0039741.1,FBtr0085559.1,FBpp0084925.1
FBgn0039741.1,FBtr0085560.1,FBpp0084926.1
FBgn0039742.1,FBtr0303240.1,FBpp0292332.1
FBgn0264838.1,FBtr0334709.1,
FBgn0264838.1,FBtr0334708.1,
FBgn0039743.1,FBtr0085561.1,FBpp0084927.1
FBgn0039743.1,FBtr0310420.1,FBpp0302568.1
FBgn0003479.1,FBtr0085590.1,FBpp0084956.1
FBgn0003479.1,FBtr0085589.1,FBpp0084955.1
FBgn0039744.1,FBtr0085562.1,FBpp0084928.1
FBgn0260468.1,FBtr0085564.1,FBpp0084930.1
FBgn0260468.1,FBtr0085563.1,FBpp0290849.1
FBgn0085346.1,FBtr0112516.1,FBpp0111428.1
FBgn0266411.1,FBtr0344375.1,FBpp0310748.1
FBgn0266411.1,FBtr0344374.1,FBpp0310747.1
FBgn0266411.1,FBtr0344376.1,FBpp0310749.1
FBgn0266411.1,FBtr0344373.1,FBpp0310746.1
FBgn0267781.1,FBtr0347346.1,
FBgn0266442.1,FBtr0344436.1,FBpp0310808.1
FBgn0266443.1,FBtr0344435.1,FBpp0310807.1
FBgn0051025.1,FBtr0085586.1,FBpp0084952.1
FBgn0051025.1,FBtr0085587.1,FBpp0084953.1
FBgn0051029.1,FBtr0085585.1,FBpp0084951.1
FBgn0086355.1,FBtr0085584.1,FBpp0084950.1
FBgn0086355.1,FBtr0085583.1,FBpp0084949.1
FBgn0086355.1,FBtr0085582.1,FBpp0084948.1
FBgn0039747.1,FBtr0334658.1,FBpp0306720.1
FBgn0039747.1,FBtr0085581.1,FBpp0084947.1
FBgn0267751.1,FBtr0347306.1,
FBgn0039748.1,FBtr0085567.1,FBpp0084933.1
FBgn0039748.1,FBtr0347342.1,FBpp0312535.1
FBgn0039749.1,FBtr0302562.1,FBpp0291718.1
FBgn0039749.1,FBtr0332535.1,FBpp0304802.1
FBgn0051030.1,FBtr0085579.1,FBpp0084945.1
FBgn0051030.1,FBtr0110834.1,FBpp0110131.1
FBgn0051028.1,FBtr0290050.1,FBpp0288489.1
FBgn0002773.1,FBtr0089747.1,FBpp0088688.1
FBgn0039751.1,FBtr0339185.1,FBpp0308325.1
FBgn0039751.1,FBtr0085574.1,FBpp0084940.1
FBgn0039752.1,FBtr0085568.1,FBpp0084934.1
FBgn0039752.1,FBtr0339182.1,FBpp0308323.1
FBgn0039752.1,FBtr0085569.1,FBpp0084935.1
FBgn0260860.1,FBtr0085570.1,FBpp0084936.1
FBgn0265202.1,FBtr0339184.1,
FBgn0039754.1,FBtr0085573.1,FBpp0084939.1
FBgn0039754.1,FBtr0346162.1,FBpp0311990.1
FBgn0039755.1,FBtr0085572.1,FBpp0084938.1
FBgn0039756.1,FBtr0085571.1,FBpp0084937.1
FBgn0039757.1,FBtr0339183.1,FBpp0308324.1
FBgn0039757.1,FBtr0089422.1,FBpp0088439.1
FBgn0039757.1,FBtr0089423.1,FBpp0088440.1
FBgn0039757.1,FBtr0089425.1,FBpp0088970.1
FBgn0086664.1,FBtr0091777.1,
FBgn0083047.1,FBtr0113594.1,
FBgn0083048.1,FBtr0113595.1,
FBgn0083049.1,FBtr0113596.1,
FBgn0083050.1,FBtr0113597.1,
FBgn0086665.1,FBtr0091751.1,
FBgn0082983.1,FBtr0113598.1,
FBgn0000094.1,FBtr0085611.1,FBpp0084976.1
FBgn0000094.1,FBtr0346141.1,FBpp0311969.1
FBgn0000276.1,FBtr0085612.1,FBpp0084977.1
FBgn0000280.1,FBtr0085613.1,
FBgn0000277.1,FBtr0085614.1,FBpp0084978.1
FBgn0000281.1,FBtr0089614.1,
FBgn0000278.1,FBtr0085640.1,FBpp0085002.1
FBgn0000279.1,FBtr0085616.1,FBpp0084980.1
FBgn0263402.1,FBtr0309181.1,FBpp0301135.1
FBgn0039758.1,FBtr0085639.1,FBpp0085001.1
FBgn0039759.1,FBtr0085638.1,FBpp0085000.1
FBgn0039759.1,FBtr0345122.1,FBpp0311347.1
FBgn0051383.1,FBtr0085637.1,
FBgn0051023.1,FBtr0085636.1,
FBgn0085328.1,FBtr0112495.1,FBpp0111408.1
FBgn0085328.1,FBtr0304738.1,FBpp0293280.1
FBgn0039760.1,FBtr0345231.1,FBpp0311423.1
FBgn0039760.1,FBtr0345230.1,FBpp0311422.1
FBgn0039761.1,FBtr0085618.1,FBpp0084982.1
FBgn0267782.1,FBtr0347348.1,
FBgn0010113.1,FBtr0085619.1,FBpp0084983.1
FBgn0010113.1,FBtr0330311.1,FBpp0303343.1
FBgn0010113.1,FBtr0085621.1,FBpp0084985.1
FBgn0010113.1,FBtr0085620.1,FBpp0084984.1
FBgn0085329.1,FBtr0305269.1,FBpp0293793.1
FBgn0085329.1,FBtr0112496.1,FBpp0111409.1
FBgn0267783.1,FBtr0347347.1,
FBgn0015222.1,FBtr0085634.1,FBpp0084998.1
FBgn0015222.1,FBtr0085631.1,FBpp0084995.1
FBgn0015222.1,FBtr0085633.1,FBpp0084997.1
FBgn0015222.1,FBtr0085632.1,FBpp0084996.1
FBgn0015222.1,FBtr0085635.1,FBpp0084999.1
FBgn0015222.1,FBtr0306588.1,FBpp0297543.1
FBgn0015222.1,FBtr0332170.1,FBpp0304479.1
FBgn0015222.1,FBtr0344763.1,FBpp0311091.1
FBgn0015222.1,FBtr0306587.1,FBpp0297542.1
FBgn0015221.1,FBtr0085622.1,FBpp0084986.1
FBgn0015221.1,FBtr0085623.1,FBpp0084987.1
FBgn0015221.1,FBtr0332168.1,FBpp0304477.1
FBgn0015221.1,FBtr0332169.1,FBpp0304478.1
FBgn0015221.1,FBtr0085624.1,FBpp0084988.1
FBgn0267130.1,FBtr0346226.1,
FBgn0027544.1,FBtr0085630.1,FBpp0084994.1
FBgn0027544.1,FBtr0303200.1,FBpp0292298.1
FBgn0027544.1,FBtr0344524.1,FBpp0310875.1
FBgn0027544.1,FBtr0344523.1,FBpp0310874.1
FBgn0261704.1,FBtr0303201.1,FBpp0292299.1
FBgn0261704.1,FBtr0344522.1,FBpp0310873.1
FBgn0261704.1,FBtr0303202.1,FBpp0292300.1
FBgn0039764.1,FBtr0346511.1,FBpp0312129.1
FBgn0039764.1,FBtr0085629.1,FBpp0084993.1
FBgn0039765.1,FBtr0085625.1,FBpp0084989.1
FBgn0039766.1,FBtr0085628.1,FBpp0084992.1
FBgn0039767.1,FBtr0085627.1,FBpp0084991.1
FBgn0039767.1,FBtr0339142.1,FBpp0308287.1
FBgn0039768.1,FBtr0085626.1,FBpp0084990.1
FBgn0039769.1,FBtr0085644.1,FBpp0085006.1
FBgn0039770.1,FBtr0339141.1,FBpp0308286.1
FBgn0039770.1,FBtr0113310.1,FBpp0112222.1
FBgn0039771.1,FBtr0330291.1,FBpp0303323.1
FBgn0028646.1,FBtr0085693.1,FBpp0085055.1
FBgn0028646.1,FBtr0330290.1,FBpp0303322.1
FBgn0028646.1,FBtr0306586.1,FBpp0297541.1
FBgn0028646.1,FBtr0085694.1,FBpp0085056.1
FBgn0028646.1,FBtr0085692.1,FBpp0085054.1
FBgn0028646.1,FBtr0085695.1,FBpp0085057.1
FBgn0039773.1,FBtr0331358.1,FBpp0303776.1
FBgn0039773.1,FBtr0085691.1,FBpp0085053.1
FBgn0039774.1,FBtr0331357.1,FBpp0303775.1
FBgn0039774.1,FBtr0085645.1,FBpp0085007.1
FBgn0039774.1,FBtr0085649.1,FBpp0085011.1
FBgn0039774.1,FBtr0085648.1,FBpp0085010.1
FBgn0039774.1,FBtr0085646.1,FBpp0085008.1
FBgn0039774.1,FBtr0085647.1,FBpp0085009.1
FBgn0039776.1,FBtr0085650.1,FBpp0085012.1
FBgn0260440.1,FBtr0085651.1,FBpp0085013.1
